id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
38c194800791cf70a148c1c870a94727,szczecin,blockOfFlats,51.0,2.0,1.0,2.0,2019.0,53.4450001,14.484787,5.59,1.0,0.655,1.446,0.528,0.602,0.398,3.06,0.525,condominium,brick,premium,yes,yes,no,no,no,2500
a640ac5f62cce4d6806a7b7d73b5cd52,szczecin,apartmentBuilding,39.0,2.0,5.0,7.0,2022.0,53.4046460857892,14.492032662927,5.02,2.0,0.976,2.157,0.478,1.309,0.377,3.119,0.546,condominium,brick,premium,yes,yes,yes,no,no,3400
0f66706295d1e47a66e9ab46e287a632,szczecin,apartmentBuilding,27.0,1.0,2.0,7.0,2022.0,53.4047865940199,14.4928624508732,4.97,3.0,0.93,2.141,0.421,1.279,0.368,3.065,0.495,condominium,brick,premium,yes,yes,yes,no,no,2400
9617848400b821533c7d4ceb75f9571c,szczecin,tenement,27.0,1.0,2.0,4.0,1900.0,53.4311026001713,14.5420260526062,1.52,76.0,0.256,0.597,0.155,0.184,0.052,0.212,0.046,condominium,brick,premium,no,no,yes,yes,no,2300
886f9d212b307a62d679192d9aaedab2,szczecin,blockOfFlats,44.0,2.0,1.0,4.0,2007.0,53.4656376,14.5423955,4.86,11.0,0.209,1.371,0.152,0.072,0.342,2.41,0.366,condominium,brick,premium,no,yes,yes,no,yes,2300
d1d8f0e59407cf7abe28e684de87ac82,szczecin,,32.0,1.0,1.0,3.0,,53.4252,14.5526,0.59,64.0,0.305,0.285,0.144,0.128,0.044,0.757,0.093,condominium,,,no,no,no,no,no,2250
30494a17380851da403d3c0848336566,szczecin,blockOfFlats,31.0,1.0,6.0,8.0,1970.0,53.4327838,14.5079452,3.66,14.0,0.142,1.061,0.244,0.247,0.482,1.613,0.263,condominium,concreteSlab,premium,no,no,yes,no,yes,1700
90fe55c012c95c245491f39e0b1fac1a,szczecin,blockOfFlats,80.0,3.0,2.0,2.0,2000.0,53.4404,14.5374,2.45,16.0,0.385,0.237,0.432,0.051,0.205,0.488,0.54,condominium,brick,premium,yes,no,no,no,yes,4000
ed78ca4227139d1c315f77fefe5057d9,szczecin,apartmentBuilding,47.0,2.0,,4.0,2020.0,53.4224,14.5239,2.46,5.0,0.424,0.466,0.701,0.972,0.413,0.585,0.107,condominium,brick,premium,yes,yes,yes,no,no,2700
ec3cdcc55463effcacbf63ab6caa12be,szczecin,blockOfFlats,52.97,3.0,2.0,4.0,1970.0,53.4015166,14.5318429,3.11,1.0,0.336,0.76,0.554,0.545,0.553,2.037,0.539,condominium,concreteSlab,,no,yes,no,no,yes,2200
