id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
b17532c5f5ae155e1ea96cec41c2aca0,szczecin,apartmentBuilding,35.0,2.0,4.0,4.0,2023.0,53.4500067164432,14.4988235047579,5.07,13.0,0.165,0.987,0.091,0.561,0.104,2.282,0.072,condominium,brick,premium,no,yes,yes,yes,no,2600
1640c82c9f233cf4c379890fdffa64a7,szczecin,blockOfFlats,28.6,1.0,10.0,10.0,1973.0,53.4464978,14.563188,2.57,8.0,0.22,0.791,0.605,0.29,0.612,1.832,0.373,condominium,concreteSlab,premium,no,no,yes,no,no,1700
99f85bbc55d110aa5a79ad4c7d5a0562,szczecin,blockOfFlats,46.7,2.0,1.0,4.0,1980.0,53.4469902,14.5568514,2.64,14.0,0.196,0.715,0.744,0.248,0.258,1.562,0.096,condominium,concreteSlab,premium,no,no,no,no,yes,2200
70e87c287ab1e50e41df2bbc3a03bb7b,szczecin,blockOfFlats,90.02,4.0,1.0,4.0,1990.0,53.43561119,14.54707646,1.64,55.0,0.111,0.123,0.26,0.182,0.099,0.398,0.376,condominium,brick,,no,no,no,no,yes,3000
655acd54eb518a718fd1f59fd7161c61,szczecin,blockOfFlats,43.0,2.0,3.0,3.0,1960.0,53.4259458,14.5594895,0.3,68.0,0.072,0.73,0.589,0.114,0.016,0.405,0.338,condominium,concreteSlab,premium,no,yes,no,no,yes,2700
90fe55c012c95c245491f39e0b1fac1a,szczecin,blockOfFlats,80.0,3.0,2.0,2.0,2000.0,53.4404,14.5374,2.45,16.0,0.385,0.237,0.432,0.051,0.205,0.488,0.54,condominium,brick,premium,yes,no,no,no,yes,4000
876fffef60e5e6201969cc4652703f35,szczecin,,70.0,3.0,1.0,1.0,,53.4165,14.4774,5.59,0.0,0.973,1.32,1.171,1.346,0.729,3.611,0.965,condominium,,,no,no,no,no,no,3000
a2112015047299228e73db33f07de856,szczecin,apartmentBuilding,35.0,1.0,1.0,6.0,2000.0,53.43193531,14.56988811,1.12,5.0,0.576,1.037,0.31,0.356,0.07,0.616,0.551,condominium,brick,premium,no,yes,yes,no,no,1900
8b485d3f8580f6d4ea6d39a82f7a59ad,szczecin,apartmentBuilding,37.5,2.0,2.0,3.0,2016.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,brick,premium,no,no,yes,no,no,2100
30eb60002bd4b08a795ebb50e3806ea8,szczecin,apartmentBuilding,32.98,2.0,6.0,7.0,2018.0,53.4157,14.5327,2.06,8.0,0.521,0.482,0.021,0.175,0.241,0.465,0.692,condominium,brick,,yes,yes,yes,yes,no,2400
7da184795bded287b452ac85de6f37b1,szczecin,apartmentBuilding,48.0,2.0,7.0,7.0,2021.0,53.4037063,14.4851222,5.48,1.0,1.373,2.317,0.948,1.594,0.27,3.565,0.999,condominium,brick,premium,yes,yes,yes,no,no,3800
ae7c68136c6e6d48de9813576fe100d5,szczecin,apartmentBuilding,58.66,2.0,3.0,3.0,2022.0,53.42403815,14.56129944,0.07,51.0,0.168,0.795,0.514,0.21,0.029,0.591,0.39,condominium,brick,premium,no,no,yes,no,no,3000
f59728b02378e26367f243b117b5d708,szczecin,apartmentBuilding,25.0,1.0,7.0,28.0,2022.0,53.4329,14.5548,1.13,54.0,0.245,0.256,0.092,0.271,0.068,0.602,0.087,condominium,brick,,yes,yes,yes,no,no,2590
39743e6f19d0f072a4851347f8eae45f,szczecin,tenement,58.39,3.0,1.0,4.0,1905.0,53.42982799,14.56251606,0.72,29.0,0.059,0.768,0.255,0.147,0.178,0.078,0.534,condominium,brick,premium,no,yes,no,no,no,3150
5d6eb2301ae1ce519df42b64194666ab,szczecin,blockOfFlats,48.0,2.0,,10.0,2023.0,53.410699,14.5288423,2.55,15.0,0.092,0.281,0.351,0.079,0.106,1.032,0.304,condominium,,premium,no,no,yes,no,no,3500
e775cc862603c83af3d9d00498b80a95,szczecin,tenement,82.0,3.0,,3.0,1940.0,53.475556,14.604444,6.48,2.0,1.341,0.88,1.583,0.219,0.243,2.238,1.223,condominium,brick,,no,no,no,no,no,3000
9f50ce00d7b14a9ad8c123bdcc3facc8,szczecin,apartmentBuilding,30.5,1.0,4.0,26.0,2022.0,53.4291943,14.5532619,0.82,68.0,0.212,0.344,0.345,0.177,0.078,0.557,0.051,condominium,brick,premium,no,yes,yes,no,no,2500
cd933519708a2f08ff82da02b100bccc,szczecin,blockOfFlats,51.1,2.0,1.0,3.0,2011.0,53.41233035,14.49312708,4.66,4.0,0.537,1.302,0.239,0.501,0.282,2.683,0.837,condominium,brick,premium,no,yes,yes,no,no,2500
ec48bbb4d154424435580453e3b15d81,szczecin,apartmentBuilding,65.0,3.0,,2.0,2012.0,53.4800021,14.5392049,6.46,2.0,1.524,2.85,1.267,0.859,0.471,3.234,0.315,condominium,brick,premium,yes,yes,no,no,no,3300
bbb4ec047b01a7ed28504f6f2c35e870,szczecin,blockOfFlats,56.47,2.0,2.0,2.0,,53.4335229,14.4830531,5.28,1.0,1.302,1.236,0.86,0.717,0.902,3.202,0.435,condominium,,,no,yes,no,no,no,2500
42d0d050d884c2dc0adea47f70da53fe,szczecin,blockOfFlats,39.22,2.0,3.0,4.0,2016.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,,premium,no,yes,yes,no,no,1800
baf0d0eebca77596992a0d4d168c2cee,szczecin,apartmentBuilding,54.0,2.0,4.0,4.0,2004.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,brick,premium,yes,yes,yes,no,no,2200
1912efc5895a3ba809bab2e9969c9bf5,szczecin,tenement,53.0,2.0,4.0,4.0,1920.0,53.432222,14.555833,1.04,47.0,0.173,0.332,0.01,0.261,0.062,0.501,0.121,condominium,brick,,no,no,,no,no,2500
78a9e649cff5457b2f68139935e3d2bc,szczecin,blockOfFlats,42.0,2.0,2.0,3.0,1950.0,53.4459187,14.5013791,4.67,8.0,0.294,0.514,0.408,0.46,0.361,1.987,0.392,condominium,brick,premium,no,no,no,no,no,1900
aad742e385cf66bd19c855677539195b,szczecin,,39.0,2.0,3.0,3.0,2011.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,brick,premium,no,yes,no,no,no,2500
2ead0d20d2ee9483bd5a8579bbc689e0,szczecin,,38.2,2.0,,4.0,,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,condominium,,,yes,no,,no,no,2800
fc3f90d4e7952a1068e53eccab5a2ac5,szczecin,,38.2,2.0,,4.0,,53.4273184,14.543117,1.26,61.0,0.216,0.379,0.26,0.401,0.11,0.233,0.071,condominium,,,yes,no,,no,no,2300
0669624aaef82bce04cfacf740dc9178,szczecin,blockOfFlats,48.5,2.0,7.0,10.0,,53.3797008,14.655164,7.91,23.0,0.128,0.164,0.274,0.254,0.157,,0.149,condominium,,,no,yes,yes,no,yes,2400
32becbdc39931a30bf9d673f593e3ae2,szczecin,tenement,73.22,3.0,2.0,4.0,1945.0,53.42997,14.56525,0.78,18.0,0.202,0.883,0.162,0.207,0.215,0.248,0.713,condominium,brick,premium,no,no,no,no,yes,3500
fe8a4d296ee92946a7a3c1c7d931cd48,szczecin,,32.0,2.0,3.0,4.0,2023.0,53.404167,14.503333,4.38,5.0,0.834,1.803,0.337,1.177,0.067,2.558,0.21,condominium,,,no,yes,no,no,no,2400
e0360429c324c17e41c3f57069cc2e9b,szczecin,blockOfFlats,28.6,1.0,,11.0,1970.0,53.43274915,14.55254064,1.18,54.0,0.132,0.185,0.219,0.216,0.087,0.705,0.111,condominium,concreteSlab,,no,no,yes,no,no,1500
