id,city,type,squareMeters,rooms,floor,floorCount,buildYear,latitude,longitude,centreDistance,poiCount,schoolDistance,clinicDistance,postOfficeDistance,kindergartenDistance,restaurantDistance,collegeDistance,pharmacyDistance,ownership,buildingMaterial,condition,hasParkingSpace,hasBalcony,hasElevator,hasSecurity,hasStorageRoom,price
6ecaa957443f71ff320f9cf136ab416a,szczecin,blockOfFlats,28.6,1.0,10.0,10.0,1973.0,53.4464978,14.563188,2.57,8.0,0.22,0.791,0.605,0.29,0.612,1.832,0.373,condominium,concreteSlab,premium,no,no,yes,no,no,1700
9617848400b821533c7d4ceb75f9571c,szczecin,tenement,27.0,1.0,2.0,4.0,1900.0,53.4311026001713,14.5420260526062,1.52,76.0,0.256,0.597,0.155,0.184,0.052,0.212,0.046,condominium,brick,premium,no,no,yes,yes,no,2300
ffab4c61e84e7db6f8463cd54f063d74,szczecin,blockOfFlats,47.55,2.0,,10.0,1972.0,53.4342,14.5591,1.21,25.0,0.288,0.28,0.252,0.315,0.241,0.565,0.19,condominium,,,yes,no,yes,no,no,2500
03100b8d303bdabf71f32c1237e63e3f,szczecin,blockOfFlats,54.3,3.0,1.0,3.0,2018.0,53.394,14.4922,5.61,2.0,2.039,2.945,0.365,2.13,0.382,3.883,0.566,condominium,,,yes,yes,no,no,no,2600
30494a17380851da403d3c0848336566,szczecin,blockOfFlats,31.0,1.0,6.0,8.0,1970.0,53.4327838,14.5079452,3.66,14.0,0.142,1.061,0.244,0.247,0.482,1.613,0.263,condominium,concreteSlab,premium,no,no,yes,no,yes,2000
499661a85ec3c5ec20ee44f1be2f8472,szczecin,,51.0,3.0,,,,53.3949183,14.6373966,5.97,2.0,1.126,2.208,1.11,1.471,0.12,,1.312,condominium,,,no,no,no,yes,no,3800
90fe55c012c95c245491f39e0b1fac1a,szczecin,blockOfFlats,80.0,3.0,2.0,2.0,2000.0,53.4404,14.5374,2.45,16.0,0.385,0.237,0.432,0.051,0.205,0.488,0.54,condominium,brick,premium,yes,no,no,no,yes,4000
ae7c68136c6e6d48de9813576fe100d5,szczecin,apartmentBuilding,58.66,2.0,3.0,3.0,2022.0,53.42403815,14.56129944,0.07,51.0,0.168,0.795,0.514,0.21,0.029,0.591,0.39,condominium,brick,premium,no,no,yes,no,no,3000
7b4e4b5bf7a8961e85866933a25f7558,szczecin,tenement,51.92,3.0,4.0,4.0,1930.0,53.43164875,14.54635994,1.33,80.0,0.327,0.417,0.25,0.428,0.055,0.314,0.05,condominium,brick,premium,no,no,,no,no,2300
ae02a929db053f431933f26187dba4b1,szczecin,apartmentBuilding,38.0,2.0,,3.0,2023.0,53.46852875,14.55565819,5.03,2.0,1.102,1.731,0.495,0.818,0.402,1.643,0.688,condominium,brick,premium,no,no,yes,no,yes,2600
036851d0a2e042606606d6a5ce1848f0,szczecin,blockOfFlats,42.74,3.0,5.0,5.0,1960.0,53.4308502,14.5446846,1.36,84.0,0.39,0.455,0.158,0.342,0.014,0.179,0.105,condominium,brick,premium,no,no,yes,no,no,2800
19699991d3ba51142090e26ce839c11e,szczecin,blockOfFlats,36.21,2.0,3.0,4.0,1956.0,53.4318648,14.5522844,1.1,60.0,0.192,0.267,0.235,0.12,0.105,0.644,0.123,condominium,brick,premium,no,no,,no,no,2400
992fbe974c89a09732ed9ed62f36cb08,szczecin,blockOfFlats,62.0,3.0,2.0,4.0,2020.0,53.42845706,14.48204039,5.26,3.0,0.852,0.865,0.357,0.812,0.755,3.393,0.137,condominium,,premium,yes,yes,no,no,no,3500
d3895ace7f12f975fb9e69c59fa1af2d,szczecin,,29.0,1.0,4.0,6.0,,53.4187193,14.5445331,1.21,9.0,0.233,0.479,0.55,0.592,0.366,0.866,0.335,condominium,,,no,no,yes,yes,no,1950
70fe65f465ddcb64dae1f55d2081bace,szczecin,,83.8,4.0,1.0,7.0,2010.0,53.4037108,14.5267092,3.15,16.0,0.355,0.539,0.444,0.287,0.156,1.822,0.23,condominium,brick,premium,yes,no,yes,no,no,4000
1d0f5581bd019bb000f7165af2deb4da,szczecin,,56.0,2.0,2.0,2.0,,53.4438433,14.5055732,4.32,9.0,0.467,0.179,0.226,0.28,0.274,1.677,0.249,condominium,,,yes,yes,no,no,no,2600
2e17628384b18f7f7e009a49d1eac437,szczecin,apartmentBuilding,39.0,2.0,1.0,4.0,2019.0,53.4135625,14.5318823,2.22,8.0,0.284,0.612,0.241,0.088,0.051,0.698,0.676,condominium,brick,premium,no,no,yes,no,no,1900
f14a3f2d0d1d1a8ec896e9587d2c9760,szczecin,blockOfFlats,46.7,2.0,3.0,3.0,1996.0,53.4508,14.5567,3.06,8.0,0.095,0.533,0.508,0.153,0.434,1.894,0.271,condominium,,,yes,yes,no,no,no,1900
3a67f9521717b28df2ef8b1c5be51319,szczecin,blockOfFlats,38.95,2.0,6.0,7.0,2017.0,53.4133689,14.53287363,2.17,7.0,0.308,0.61,0.262,0.084,0.023,0.724,0.69,condominium,,premium,yes,yes,yes,no,no,2100
ec3cdcc55463effcacbf63ab6caa12be,szczecin,blockOfFlats,52.97,3.0,2.0,4.0,1970.0,53.4015166,14.5318429,3.11,1.0,0.336,0.76,0.554,0.545,0.553,2.037,0.539,condominium,concreteSlab,,no,yes,no,no,yes,2200
e61c1f79e10d9b1f09c87c349f770495,szczecin,tenement,45.0,2.0,,2.0,,53.4396306926037,14.5127061939737,3.67,6.0,0.584,0.525,0.156,0.387,0.791,1.225,0.258,condominium,brick,,no,no,no,no,no,2700
b2b3a6e4cb35e1d07b19ce8245a7bc47,szczecin,apartmentBuilding,44.07,2.0,2.0,2.0,2024.0,53.4285438,14.5528116,0.79,67.0,0.288,0.285,0.268,0.245,0.068,0.593,0.085,condominium,brick,premium,yes,no,yes,no,no,2800
6d316ae55ed702d38a239028ad049ca9,szczecin,apartmentBuilding,37.17,2.0,1.0,4.0,2021.0,53.4312161,14.5424176,1.51,77.0,0.277,0.586,0.158,0.213,0.032,0.214,0.048,condominium,brick,premium,no,no,yes,no,no,2600
81ed51776eef965eb394c8c8dfcb704a,szczecin,apartmentBuilding,39.68,2.0,,5.0,2012.0,53.4656376,14.5423955,4.86,11.0,0.209,1.371,0.152,0.072,0.342,2.41,0.366,condominium,brick,premium,yes,yes,yes,no,no,2000
deff8527040a524371ef3704941c75c3,szczecin,blockOfFlats,48.07,2.0,3.0,11.0,1970.0,53.4586534,14.53433759,4.3,7.0,0.358,0.455,0.299,0.422,0.259,1.833,0.386,condominium,concreteSlab,,yes,yes,yes,no,yes,2300
354c934d7e725d67570bc2c3a7a9ea1b,szczecin,tenement,32.0,1.0,,,1940.0,53.43947149,14.5704782,1.9,18.0,0.148,1.118,0.261,0.168,0.276,1.268,0.218,condominium,brick,,no,no,no,no,yes,1500
b018702f21dba66fbcefecfa7328c921,szczecin,blockOfFlats,62.49,2.0,4.0,4.0,1960.0,53.4251507,14.5534071,0.54,73.0,0.316,0.338,0.196,0.151,0.062,0.719,0.131,condominium,brick,premium,no,no,no,no,yes,2900
ba8dc206842e4ec07d7e769edd2c7777,szczecin,tenement,54.0,2.0,3.0,3.0,1950.0,53.4408512,14.528051,2.92,13.0,0.201,0.41,0.936,0.485,0.174,0.242,0.183,condominium,brick,premium,no,no,no,no,yes,2350
